"Year"	"AgeGroup"	"Thousands"
1900	"<5"	9181
1900	"5-14"	16966
1900	"15-24"	14951
1900	"25-34"	12161
1900	"35-44"	9273
1900	"45-54"	6437
1900	"55-64"	4026
1900	">64"	3099
1901	"<5"	9336
1901	"5-14"	17158
1901	"15-24"	15242
1901	"25-34"	12442
1901	"35-44"	9504
1901	"45-54"	6606
1901	"55-64"	4122
1901	">64"	3174
1902	"<5"	9502
1902	"5-14"	17360
1902	"15-24"	15555
1902	"25-34"	12737
1902	"35-44"	9745
1902	"45-54"	6788
1902	"55-64"	4220
1902	">64"	3256
1903	"<5"	9645
1903	"5-14"	17524
1903	"15-24"	15858
1903	"25-34"	13019
1903	"35-44"	9974
1903	"45-54"	6964
1903	"55-64"	4313
1903	">64"	3335
1904	"<5"	9791
1904	"5-14"	17697
1904	"15-24"	16178
1904	"25-34"	13315
1904	"35-44"	10211
1904	"45-54"	7150
1904	"55-64"	4410
1904	">64"	3414
1905	"<5"	9944
1905	"5-14"	17888
1905	"15-24"	16526
1905	"25-34"	13631
1905	"35-44"	10461
1905	"45-54"	7350
1905	"55-64"	4517
1905	">64"	3505
1906	"<5"	10092
1906	"5-14"	18067
1906	"15-24"	16864
1906	"25-34"	13952
1906	"35-44"	10705
1906	"45-54"	7554
1906	"55-64"	4621
1906	">64"	3595
1907	"<5"	10220
1907	"5-14"	18240
1907	"15-24"	17184
1907	"25-34"	14257
1907	"35-44"	10945
1907	"45-54"	7755
1907	"55-64"	4724
1907	">64"	3684
1908	"<5"	10364
1908	"5-14"	18440
1908	"15-24"	17526
1908	"25-34"	14585
1908	"35-44"	11202
1908	"45-54"	7974
1908	"55-64"	4840
1908	">64"	3779
1909	"<5"	10509
1909	"5-14"	18670
1909	"15-24"	17871
1909	"25-34"	14923
1909	"35-44"	11471
1909	"45-54"	8204
1909	"55-64"	4964
1909	">64"	3878
1910	"<5"	10671
1910	"5-14"	18950
1910	"15-24"	18212
1910	"25-34"	15274
1910	"35-44"	11759
1910	"45-54"	8454
1910	"55-64"	5101
1910	">64"	3986
1911	"<5"	10796
1911	"5-14"	19214
1911	"15-24"	18355
1911	"25-34"	15530
1911	"35-44"	12003
1911	"45-54"	8657
1911	"55-64"	5234
1911	">64"	4074
1912	"<5"	10915
1912	"5-14"	19503
1912	"15-24"	18477
1912	"25-34"	15772
1912	"35-44"	12252
1912	"45-54"	8875
1912	"55-64"	5372
1912	">64"	4169
1913	"<5"	11082
1913	"5-14"	19904
1913	"15-24"	18649
1913	"25-34"	16070
1913	"35-44"	12562
1913	"45-54"	9135
1913	"55-64"	5542
1913	">64"	4281
1914	"<5"	11244
1914	"5-14"	20316
1914	"15-24"	18796
1914	"25-34"	16370
1914	"35-44"	12875
1914	"45-54"	9398
1914	"55-64"	5711
1914	">64"	4401
1915	"<5"	11347
1915	"5-14"	20660
1915	"15-24"	18844
1915	"25-34"	16580
1915	"35-44"	13130
1915	"45-54"	9618
1915	"55-64"	5866
1915	">64"	4501
1916	"<5"	11442
1916	"5-14"	21008
1916	"15-24"	18872
1916	"25-34"	16776
1916	"35-44"	13388
1916	"45-54"	9846
1916	"55-64"	6026
1916	">64"	4603
1917	"<5"	11527
1917	"5-14"	21369
1917	"15-24"	18836
1917	"25-34"	16913
1917	"35-44"	13647
1917	"45-54"	10068
1917	"55-64"	6194
1917	">64"	4714
1918	"<5"	11606
1918	"5-14"	21732
1918	"15-24"	18071
1918	"25-34"	16445
1918	"35-44"	13879
1918	"45-54"	10293
1918	"55-64"	6356
1918	">64"	4826
1919	"<5"	11536
1919	"5-14"	21849
1919	"15-24"	18465
1919	"25-34"	16912
1919	"35-44"	14008
1919	"45-54"	10402
1919	"55-64"	6456
1919	">64"	4886
1920	"<5"	11631
1920	"5-14"	22158
1920	"15-24"	18821
1920	"25-34"	17416
1920	"35-44"	14382
1920	"45-54"	10505
1920	"55-64"	6619
1920	">64"	4929
1921	"<5"	11879
1921	"5-14"	22515
1921	"15-24"	19140
1921	"25-34"	17747
1921	"35-44"	14665
1921	"45-54"	10721
1921	"55-64"	6791
1921	">64"	5080
1922	"<5"	12031
1922	"5-14"	22788
1922	"15-24"	19402
1922	"25-34"	17924
1922	"35-44"	14823
1922	"45-54"	10899
1922	"55-64"	6951
1922	">64"	5231
1923	"<5"	12119
1923	"5-14"	23089
1923	"15-24"	19798
1923	"25-34"	18231
1923	"35-44"	15066
1923	"45-54"	11068
1923	"55-64"	7165
1923	">64"	5411
1924	"<5"	12269
1924	"5-14"	23358
1924	"15-24"	20314
1924	"25-34"	18557
1924	"35-44"	15337
1924	"45-54"	11278
1924	"55-64"	7387
1924	">64"	5609
1925	"<5"	12316
1925	"5-14"	23614
1925	"15-24"	20691
1925	"25-34"	18720
1925	"35-44"	15576
1925	"45-54"	11521
1925	"55-64"	7605
1925	">64"	5786
1926	"<5"	12189
1926	"5-14"	23906
1926	"15-24"	21037
1926	"25-34"	18867
1926	"35-44"	15847
1926	"45-54"	11786
1926	"55-64"	7805
1926	">64"	5960
1927	"<5"	12111
1927	"5-14"	24152
1927	"15-24"	21430
1927	"25-34"	18948
1927	"35-44"	16172
1927	"45-54"	12092
1927	"55-64"	8003
1927	">64"	6127
1928	"<5"	11978
1928	"5-14"	24320
1928	"15-24"	21811
1928	"25-34"	18953
1928	"35-44"	16540
1928	"45-54"	12430
1928	"55-64"	8178
1928	">64"	6299
1929	"<5"	11734
1929	"5-14"	24470
1929	"15-24"	22151
1929	"25-34"	18941
1929	"35-44"	16921
1929	"45-54"	12761
1929	"55-64"	8315
1929	">64"	6474
