"v1"	"v2"	"v3"	"v4"	"v5"	"v6"	"v7"	"v8"	"v9"	"v10"	"v11"
"Alabama             "	3	6	3	17.1000003814697	17234	54.7999992370605	34	843638	2545969	1
"Alaska"	4	9	2	10	22846	63.7999992370605	50.2000007629395	43244	323429	0
"Arizona"	4	8	3	15.1000003814697	18121	52.9000015258789	35.7999992370605	491080	2301177	0
"Arkansas"	3	7	3	17.3999996185303	16143	53.5999984741211	38.2999992370605	503481	1496150	1
"California"	4	9	1	15.8000001907349	21821	49.4000015258789	32.9000015258789	4450528	18695500	0
"Colorado"	4	8	1	10.6000003814697	21564	60.7999992370605	40.9000015258789	328056	2107072	0
"Connecticut"	1	1	2	9.39999961853027	28110	64.4000015258789	40.9000015258789	457208	2198963	0
"Delaware"	3	5	2	7.59999990463257	21481	55.5999984741211	35	96472	428499	1
"Florida"	3	5	3	15.3000001907349	20857	51	23.3999996185303	2271074	8887168	1
"Georgia"	3	5	3	17.7999992370605	19278	46.4000015258789	29.1000003814697	1169815	4023420	1
"Hawaii"	4	9	2	11	23354	43.0999984741211	40.5	141506	709820	0
"Idaho"	4	8	1	15	17646	64.3000030517578	44.5	121787	601292	0
"Illinois"	2	3	2	15.3000001907349	22582	58.7000007629395	36.2000007629395	1735789	7293930	0
"Indiana"	2	3	2	11.6999998092651	19203	54.7999992370605	36.9000015258789	850014	3489470	0
"Iowa"	2	4	1	11.3000001907349	18315	65.3000030517578	38.4000015258789	353800	1776798	0
"Kansas"	2	4	1	11	20139	62.9000015258789	42.9000015258789	293272	1565936	0
"Kentucky"	3	6	3	19.7000007629395	17173	53.4000015258789	27.8999996185303	825857	2333833	1
"Louisiana"	3	7	3	24.2000007629395	16667	58.7999992370605	3.5	803872	2536994	1
"Maine"	1	1	1	13.3999996185303	18895	72.9000015258789	56	168460	795613	0
"Maryland"	3	5	2	11.6000003814697	24044	53.5999984741211	30	673932	3122665	1
"Massachusetts"	1	1	2	10	24563	60.0999984741211	44.0999984741211	792657	3962223	0
"Michigan"	2	3	1	13.5	20453	61.5	35.5	1356759	5842642	0
"Minnesota"	2	4	1	12.8000001907349	21063	71.8000030517578	55.2999992370605	488765	2770562	0
"Mississippi"	3	6	3	24.5	14894	52.4000015258789	20.1000003814697	549685	1538997	1
"Missouri"	2	4	2	15.6000003814697	19463	62.0999984741211	35.5	858368	3291579	0
"Montana"	4	8	1	13.6999998092651	17322	68.4000015258789	54.7999992370605	96469	507851	0
"Nebraska"	2	4	2	10.3000001907349	19726	63.4000015258789	50.9000015258789	181072	996049	0
"Nevada"	4	8	2	14.3999996185303	22729	50.0999984741211	33.7000007629395	167628	789638	0
"NewHampshire"	1	1	1	8.60000038146973	22659	64.1999969482422	34.7999992370605	127423	713894	0
"NewJersey"	1	2	2	10	26967	56.0999984741211	30.7999992370605	1205206	5166233	0
"NewMexico"	4	8	3	21	16297	50.7999992370605	33.4000015258789	229974	922590	0
"NewYork"	1	2	2	15.3000001907349	24623	50.5	26.7999992370605	2977604	11818569	0
"NorthCarolina"	3	5	3	15.6999998092651	18702	50.2999992370605	39.7000007629395	1277747	4253494	1
"NorthDakota"	2	4	1	11.8999996185303	17488	66.6999969482422	50.5999984741211	92427	396550	0
"Ohio"	2	3	2	12.3999996185303	19688	60.2000007629395	42.4000015258789	1684888	6924764	0
"Oklahoma"	3	7	3	18.3999996185303	17020	59.0999984741211	37.0999984741211	506961	1995424	1
"Oregon"	4	9	1	11.3000001907349	19443	65.9000015258789	49.2000007629395	343609	1855369	0
"Pennsylvania"	1	2	2	11.6999998092651	21351	54.0999984741211	31.3999996185303	1994278	7872932	0
"RhodeIsland"	1	1	2	12	21096	59	44.7000007629395	184344	658956	0
"SouthCarolina"	3	5	3	18.8999996185303	16923	45.0999984741211	25.8999996185303	687260	2167590	1
"SouthDakota"	2	4	1	14.8000001907349	17666	66.5999984741211	51.7000007629395	98720	430500	0
"Tennessee"	3	6	3	17	18434	52.2000007629395	19.5	1033914	3139066	1
"Texas"	3	7	3	17.7999992370605	19189	48.5	26.7999992370605	2872559	10310605	1
"Utah"	4	8	1	9.30000019073486	16180	63.5999984741211	40.0999984741211	133315	897321	0
"Vermont"	1	1	1	10.3999996185303	19467	67.5	49.7000007629395	68637	357245	0
"Virginia"	3	5	3	9.39999961853027	21634	52.7000007629395	24.3999996185303	987203	3974814	1
"Washington"	4	9	1	11	21887	60	36	505783	3126390	0
"WestVirginia"	3	5	3	22.2999992370605	16209	49.7000007629395	27.7999992370605	398527	1171766	1
"Wisconsin"	2	3	1	10.8000001907349	19811	68.9000015258789	34.7000007629395	662072	3094226	0
"Wyoming"	4	8	2	10.3000001907349	19539	61	49.5	47113	277769	0
